transaction_id,customer_id,device_id,ip_address
fee8542d-8ee6-4b0d-9671-c294dd08ed26,402cccc9-28de-45b3-9af7-cc5302aa1f93,9f292dcc-3297-4947-a260-6a1ef69041ff,221.78.171.180
bfdb9fc1-27fe-4a85-b043-4d813d679259,67c2c6b3-ef0a-4777-a3f1-c84a851bb6ad,3a95b9f5-309f-4684-a46d-e2ff2435bf78,120.12.20.29
fc855034-3ea5-4993-9afa-b511d93fe5e8,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,a4737752-9aac-43ed-9d8b-2ccdffc24052,223.96.181.93
2cf8c08e-42ec-444d-a755-34b9a2a0a4ca,7bd5200c-5d19-44f0-9afe-8b339a05366b,6aeb85a3-5603-4221-896c-9e6882764f1a,186.228.15.74
d907a74d-b426-438d-97eb-dbe911aca91c,70a93d26-8e3a-4179-900c-a4a7a74d08e5,a5b9250e-dbe0-4c5f-a6e7-5492b7349402,11.82.47.62
ec17d6f2-6505-4de9-910f-0de3ac3bbc23,4cfe5cbc-d677-49bc-8739-b1d05f351250,209e3bb0-50ea-49b7-a681-036adf7b1251,191.142.136.198
2d8efe37-33ea-40de-9881-e553e3f2f8ce,67c2c6b3-ef0a-4777-a3f1-c84a851bb6ad,cd539961-17ad-4f6b-94ae-8080423af5e3,106.34.98.71
4d311532-ee0b-4985-b996-63e11a7144d3,4dfeffe2-94ed-4fc3-b5bc-89c6f1e86dab,96468499-b7b2-4273-a946-dbf2cb7dc95a,32.170.54.208
db5bdea7-0701-4c07-9efa-815fa6ca9ede,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,3c27e832-cb50-4fc5-b782-ec97f6a5d50c,109.242.237.91
d74c81c0-bf5d-4184-8ce2-27fb753cb1c6,f7531a78-8bbe-4a85-b1e8-a0650edddc72,3df8c73d-b716-4a6e-8172-d2b7359b60b2,103.237.21.29
ff57e293-80cf-4e72-baa4-37011f79b0ff,70a93d26-8e3a-4179-900c-a4a7a74d08e5,8303b289-ab19-473d-986e-a358b73b47a4,224.70.29.217
43a11314-6420-4e23-b0a8-69d5f010da86,af8ca4c4-8703-4c55-b66c-2b76cd70040d,4bb9533a-117f-455a-9e69-a484a77a7176,79.129.58.248
2743f55c-3693-4219-a62c-5b3d22caf2c6,d71c91b4-fee8-4104-9856-a5c6109a62e3,d9e1f739-eac3-4a99-9863-beb39ce9e9fb,212.97.193.174
1a34a095-3be4-4a69-a22e-803be566526c,7041b9c1-3719-4ca8-9a6b-811b47cea6c0,9957de24-ace9-4938-bb81-6e7e41276961,unknown
293c5ffb-ea4a-4ddb-855d-b159d7faee37,7bd5200c-5d19-44f0-9afe-8b339a05366b,3c9c9dd3-91c1-4b39-a2f7-9c0df1d7b9b8,31.210.109.168
d48dbfbf-2b25-47e0-8470-66e8996faa0f,70a93d26-8e3a-4179-900c-a4a7a74d08e5,438a44cf-2f89-4c5e-861c-942cb1bed78c,15.50.13.82
